Поезд/Нитка,Дней до отправления,Станция отп.,Станция назн.,Тип/Кл.обсл.,Кол-во прод. мест,Сумма по бил.,Сумма по плац.,Сумма серв. усл.,Итого сумма билета,Расстояние
118С,0,КРАСНОДАР,РОСТОВ-ГЛАВНЫЙ,,1,,,0.0,0.0,284
174С,0,КРАСНОДАР,РОСТОВ-ГЛАВНЫЙ,2К,1,,,218.4,2834.3,284
174С,0,КРАСНОДАР,РОСТОВ-ГЛАВНЫЙ,2К,1,,,218.4,2834.3,284
174С,0,КРАСНОДАР,РОСТОВ-ГЛАВНЫЙ,3Э,1,,,188.2,1486.5,284
174С,0,КРАСНОДАР,РОСТОВ-ГЛАВНЫЙ,,1,,,0.0,0.0,284
286С,0,КРАСНОДАР,РОСТОВ-ГЛАВНЫЙ,2К,1,,,208.0,1775.2,284
286С,0,КРАСНОДАР,РОСТОВ-ГЛАВНЫЙ,2К,1,,,208.0,2446.9,284
286С,0,КРАСНОДАР,РОСТОВ-ГЛАВНЫЙ,2У,1,,,208.0,1775.2,284
286С,0,КРАСНОДАР,РОСТОВ-ГЛАВНЫЙ,3Э,1,,,188.2,1486.5,284
286С,0,КРАСНОДАР,РОСТОВ-ГЛАВНЫЙ,,1,,,0.0,0.0,284
501С,0,КРАСНОДАР,РОСТОВ-ГЛАВНЫЙ,1У,1,,,384.0,4450.7,284
501С,0,КРАСНОДАР,РОСТОВ-ГЛАВНЫЙ,2К,1,,,208.0,1674.1,284
501С,0,КРАСНОДАР,РОСТОВ-ГЛАВНЫЙ,3Э,1,,,188.2,1380.1,284
501С,0,КРАСНОДАР,РОСТОВ-ГЛАВНЫЙ,,1,,,0.0,0.0,284
340С,0,КРАСНОДАР,РОСТОВ-ГЛАВНЫЙ,1У,1,,,384.0,4969.8,284
340С,0,КРАСНОДАР,РОСТОВ-ГЛАВНЫЙ,1У,1,,,384.0,4969.8,284
340С,0,КРАСНОДАР,РОСТОВ-ГЛАВНЫЙ,2К,1,,,208.0,1861.3,284
340С,0,КРАСНОДАР,РОСТОВ-ГЛАВНЫЙ,2К,1,,,208.0,1861.3,284
340С,0,КРАСНОДАР,РОСТОВ-ГЛАВНЫЙ,2К,1,,,208.0,1861.3,284
340С,0,КРАСНОДАР,РОСТОВ-ГЛАВНЫЙ,3Б,1,,,188.2,1380.1,284
340С,0,КРАСНОДАР,РОСТОВ-ГЛАВНЫЙ,3Э,1,,,188.2,1380.1,284
340С,0,КРАСНОДАР,РОСТОВ-ГЛАВНЫЙ,,1,,,0.0,0.0,284
460С,0,КРАСНОДАР,РОСТОВ-ГЛАВНЫЙ,2К,1,,,208.0,2060.1,284
460С,0,КРАСНОДАР,РОСТОВ-ГЛАВНЫЙ,2Л,1,,,208.0,1791.5,284
460С,0,КРАСНОДАР,РОСТОВ-ГЛАВНЫЙ,2Л,1,,,208.0,1967.5,284
460С,0,КРАСНОДАР,РОСТОВ-ГЛАВНЫЙ,3Б,1,,,188.2,1380.1,284
460С,0,КРАСНОДАР,РОСТОВ-ГЛАВНЫЙ,3Э,1,,,188.2,1380.1,284
460С,0,КРАСНОДАР,РОСТОВ-ГЛАВНЫЙ,,1,,,0.0,0.0,284
806Э,0,КРАСНОДАР,РОСТОВ-ГЛАВНЫЙ,1С,1,,,0.0,1931.2,284
806Э,0,КРАСНОДАР,РОСТОВ-ГЛАВНЫЙ,2Ж,1,,,0.0,635.8,284
806Э,0,КРАСНОДАР,РОСТОВ-ГЛАВНЫЙ,2Ж,1,,,0.0,635.8,284
326С,0,КРАСНОДАР,РОСТОВ-ГЛАВНЫЙ,2Т,1,,,899.0,2365.0,284
326С,0,КРАСНОДАР,РОСТОВ-ГЛАВНЫЙ,2Э,1,,,899.0,2365.0,284
326С,0,КРАСНОДАР,РОСТОВ-ГЛАВНЫЙ,3Т,1,,,188.2,1380.1,284
326С,0,КРАСНОДАР,РОСТОВ-ГЛАВНЫЙ,3Э,1,,,188.2,1380.1,284
326С,0,КРАСНОДАР,РОСТОВ-ГЛАВНЫЙ,,1,,,0.0,0.0,284
498С,0,КРАСНОДАР,РОСТОВ-ГЛАВНЫЙ,2К,1,,,208.0,1923.6,284
498С,0,КРАСНОДАР,РОСТОВ-ГЛАВНЫЙ,2К,1,,,208.0,2352.5,284
498С,0,КРАСНОДАР,РОСТОВ-ГЛАВНЫЙ,2К,1,,,208.0,1923.6,284
498С,0,КРАСНОДАР,РОСТОВ-ГЛАВНЫЙ,2К,1,,,208.0,2352.5,284
498С,0,КРАСНОДАР,РОСТОВ-ГЛАВНЫЙ,3Б,1,,,188.2,1380.1,284
498С,0,КРАСНОДАР,РОСТОВ-ГЛАВНЫЙ,3Э,1,,,188.2,1380.1,284
498С,0,КРАСНОДАР,РОСТОВ-ГЛАВНЫЙ,,1,,,0.0,0.0,284
084С,0,КРАСНОДАР,РОСТОВ-ГЛАВНЫЙ,1У,1,,,384.0,5180.1,284
084С,0,КРАСНОДАР,РОСТОВ-ГЛАВНЫЙ,2К,1,,,208.0,2361.6,284
084С,0,КРАСНОДАР,РОСТОВ-ГЛАВНЫЙ,3Б,1,,,188.2,1486.5,284
084С,0,КРАСНОДАР,РОСТОВ-ГЛАВНЫЙ,3Э,1,,,188.2,1486.5,284
084С,0,КРАСНОДАР,РОСТОВ-ГЛАВНЫЙ,,1,,,0.0,0.0,284
109С,0,КРАСНОДАР,РОСТОВ-ГЛАВНЫЙ,2К,1,,,208.0,2272.0,284
109С,0,КРАСНОДАР,РОСТОВ-ГЛАВНЫЙ,2К,1,,,208.0,2788.0,284
109С,0,КРАСНОДАР,РОСТОВ-ГЛАВНЫЙ,3Э,1,,,188.2,1486.5,284
109С,0,КРАСНОДАР,РОСТОВ-ГЛАВНЫЙ,,1,,,0.0,0.0,284
138С,0,КРАСНОДАР,РОСТОВ-ГЛАВНЫЙ,1Э,1,,,810.0,6935.7,284
138С,0,КРАСНОДАР,РОСТОВ-ГЛАВНЫЙ,2Ф,1,,,412.0,2690.8,284
138С,0,КРАСНОДАР,РОСТОВ-ГЛАВНЫЙ,2Т,1,,,412.0,2690.8,284
138С,0,КРАСНОДАР,РОСТОВ-ГЛАВНЫЙ,2Э,1,,,412.0,2690.8,284
138С,0,КРАСНОДАР,РОСТОВ-ГЛАВНЫЙ,3Б,1,,,188.2,2135.7,284
138С,0,КРАСНОДАР,РОСТОВ-ГЛАВНЫЙ,3Э,1,,,188.2,2135.7,284
138С,0,КРАСНОДАР,РОСТОВ-ГЛАВНЫЙ,,1,,,0.0,0.0,284
104Ж,0,КРАСНОДАР,РОСТОВ-ГЛАВНЫЙ,1Э,1,,,810.0,8289.1,284
104Ж,0,КРАСНОДАР,РОСТОВ-ГЛАВНЫЙ,2Б,1,,,347.0,2766.5,284
104Ж,0,КРАСНОДАР,РОСТОВ-ГЛАВНЫЙ,2Х,1,,,347.0,2766.5,284
104Ж,0,КРАСНОДАР,РОСТОВ-ГЛАВНЫЙ,2Х,1,,,347.0,3193.5,284
104Ж,0,КРАСНОДАР,РОСТОВ-ГЛАВНЫЙ,2Т,1,,,412.0,2831.5,284
104Ж,0,КРАСНОДАР,РОСТОВ-ГЛАВНЫЙ,2Т,1,,,412.0,3258.5,284
104Ж,0,КРАСНОДАР,РОСТОВ-ГЛАВНЫЙ,2Э,1,,,412.0,3258.5,284
104Ж,0,КРАСНОДАР,РОСТОВ-ГЛАВНЫЙ,2Э,1,,,412.0,2831.5,284
104Ж,0,КРАСНОДАР,РОСТОВ-ГЛАВНЫЙ,,1,,,0.0,0.0,284
030Й,0,КРАСНОДАР,РОСТОВ-ГЛАВНЫЙ,1Т,1,,,810.0,8431.4,284
030Й,0,КРАСНОДАР,РОСТОВ-ГЛАВНЫЙ,2Э,1,,,412.0,3321.0,284
030Й,0,КРАСНОДАР,РОСТОВ-ГЛАВНЫЙ,3Э,1,,,188.2,2135.7,284
030Й,0,КРАСНОДАР,РОСТОВ-ГЛАВНЫЙ,,1,,,0.0,0.0,284
036С,1,КРАСНОДАР,РОСТОВ-ГЛАВНЫЙ,2Б,1,,,347.0,2087.0,284
036С,1,КРАСНОДАР,РОСТОВ-ГЛАВНЫЙ,2Б,1,,,347.0,2394.0,284
036С,1,КРАСНОДАР,РОСТОВ-ГЛАВНЫЙ,2Х,1,,,347.0,2087.0,284
036С,1,КРАСНОДАР,РОСТОВ-ГЛАВНЫЙ,2Х,1,,,347.0,2394.0,284
036С,1,КРАСНОДАР,РОСТОВ-ГЛАВНЫЙ,,1,,,0.0,0.0,284
302С,1,КРАСНОДАР,РОСТОВ-ГЛАВНЫЙ,2К,1,,,93.1,2260.6,284
302С,1,КРАСНОДАР,РОСТОВ-ГЛАВНЫЙ,2К,1,,,93.1,2260.6,284
302С,1,КРАСНОДАР,РОСТОВ-ГЛАВНЫЙ,3Б,1,,,93.1,1241.9,284
302С,1,КРАСНОДАР,РОСТОВ-ГЛАВНЫЙ,3Д,1,,,93.1,1241.9,284
306С,1,КРАСНОДАР,РОСТОВ-ГЛАВНЫЙ,1Л,1,,,384.0,5445.7,284
306С,1,КРАСНОДАР,РОСТОВ-ГЛАВНЫЙ,2К,1,,,208.0,2229.7,284
306С,1,КРАСНОДАР,РОСТОВ-ГЛАВНЫЙ,2К,1,,,208.0,2229.7,284
306С,1,КРАСНОДАР,РОСТОВ-ГЛАВНЫЙ,2К,1,,,208.0,2229.7,284
306С,1,КРАСНОДАР,РОСТОВ-ГЛАВНЫЙ,2К,1,,,208.0,1397.3,284
306С,1,КРАСНОДАР,РОСТОВ-ГЛАВНЫЙ,2У,1,,,208.0,2229.7,284
306С,1,КРАСНОДАР,РОСТОВ-ГЛАВНЫЙ,3Э,1,,,188.2,1380.1,284
642Ж,1,КРАСНОДАР,РОСТОВ-ГЛАВНЫЙ,1Э,1,,,666.0,5922.4,284
642Ж,1,КРАСНОДАР,РОСТОВ-ГЛАВНЫЙ,2Т,1,,,372.0,2030.1,284
642Ж,1,КРАСНОДАР,РОСТОВ-ГЛАВНЫЙ,2Т,1,,,372.0,2030.1,284
642Ж,1,КРАСНОДАР,РОСТОВ-ГЛАВНЫЙ,2Э,1,,,372.0,2030.1,284
642Ж,1,КРАСНОДАР,РОСТОВ-ГЛАВНЫЙ,2Э,1,,,372.0,2030.1,284
642Ж,1,КРАСНОДАР,РОСТОВ-ГЛАВНЫЙ,2Э,1,,,372.0,3003.9,284
642Ж,1,КРАСНОДАР,РОСТОВ-ГЛАВНЫЙ,2Э,1,,,372.0,2030.1,284
642Ж,1,КРАСНОДАР,РОСТОВ-ГЛАВНЫЙ,3Э,1,,,188.2,1976.1,284
642Ж,1,КРАСНОДАР,РОСТОВ-ГЛАВНЫЙ,,1,,,0.0,0.0,284
259С,1,КРАСНОДАР,РОСТОВ-ГЛАВНЫЙ,3Б,1,,,188.2,1486.5,284
259С,1,КРАСНОДАР,РОСТОВ-ГЛАВНЫЙ,3Э,1,,,188.2,1486.5,284
259С,1,КРАСНОДАР,РОСТОВ-ГЛАВНЫЙ,,1,,,0.0,0.0,284
468С,1,КРАСНОДАР,РОСТОВ-ГЛАВНЫЙ,2К,1,,,208.0,1689.6,284
468С,1,КРАСНОДАР,РОСТОВ-ГЛАВНЫЙ,,1,,,0.0,0.0,284
513С,1,КРАСНОДАР,РОСТОВ-ГЛАВНЫЙ,2К,1,,,208.0,1959.0,284
513С,1,КРАСНОДАР,РОСТОВ-ГЛАВНЫЙ,2К,1,,,208.0,2396.8,284
513С,1,КРАСНОДАР,РОСТОВ-ГЛАВНЫЙ,3Б,1,,,188.2,1380.1,284
513С,1,КРАСНОДАР,РОСТОВ-ГЛАВНЫЙ,3Э,1,,,188.2,1380.1,284
